one,two,three,four,key
0.4679763,-0.03864854,-0.295344252,-1.824726227,L
-0.35889347,1.4044526,0.704964645,-0.200638304,B
-0.501840399,0.659253707,-0.421690619,-0.057688302,G
0.204886212,1.074133965,1.388361313,-0.982404023,R
0.354627914,-0.133115852,0.283762638,-0.837062962,Q
1.817480016,0.742272723,0.419394844,-2.251035205,Q
-0.776764319,0.935517747,-0.33287176,-1.875640854,U
-0.913134962,1.530623512,-0.572656719,0.477252253,K
0.358479538,-0.497571991,-0.367016188,0.507701779,S
-1.740877108,-1.160416581,-1.637830279,2.172201012,G
0.240563738,-0.328249185,1.252155258,1.072796266,8
0.764018252,1.165476172,-0.639544263,1.49525752,R
0.571034923,-0.310537224,0.582437275,-0.29876518,1
2.317658109,0.430709506,-1.334215734,0.199679484,P
1.547770735,-1.119752925,-2.277633545,0.32958591,J
-1.310608117,0.401719087,-1.000987074,1.15670835,E
-0.08849644,0.634711729,0.153323986,0.415334751,B
-0.018662826,-0.247487241,-1.446522157,0.750937749,A
-0.070127215,-1.579097261,0.120891795,0.671431885,F
-0.194677941,-0.49203915,2.35960485,0.319810396,H
-0.248617847,0.868706587,-0.492226144,-0.717959382,W
-1.091548954,-0.867110226,-0.647760443,-0.83256156,C
0.6414043,-0.138821579,-0.621962804,-0.284839425,C
1.216408468,0.992686665,0.165161778,-0.069618608,V
-0.564474181,0.792832268,0.747052843,0.571675158,I
1.759878995,-0.515665834,-0.230480686,1.362317224,S
0.126266091,0.309281376,0.382819961,-0.239199055,L
1.33436048,-0.100152167,-0.840730552,-0.643966598,6
-0.737620018,0.278087463,-0.05323524,-0.950971591,J
-1.148486485,-0.986292151,-0.144963115,0.124362404,Y
1.630594492,0.243886206,0.468368306,1.258047874,F
1.044889532,0.080717539,0.857885543,-0.298381803,J
-0.262542542,-1.615198748,-1.087238714,0.759029075,T
0.020144071,1.107791566,-0.559435335,-0.48192521,M
-1.203915546,1.885343107,-0.080470407,0.250645893,J
0.366914549,-2.430086431,-1.053446963,0.346278884,A
0.434220473,-0.079862539,-0.422976748,-0.074272176,I
0.040665698,-1.810215703,-0.189192727,1.229266366,G
1.338459432,0.3384891,-0.213446105,2.32592342,Q
0.572981073,0.782663875,1.307673211,1.619957253,X
0.762428447,-0.648528799,1.936514737,-1.159665613,J
-1.252045578,-1.53853949,1.042281382,0.623835122,A
-0.047530214,-0.4943102,-0.165460019,0.472929033,J
0.124547712,0.73079145,-0.257526851,-1.511256649,G
0.801889238,-0.462780621,-1.734620833,0.674768319,R
-0.992306666,-1.096830079,-2.061794302,0.035390606,R
-0.109662775,2.577093766,0.913562522,0.61359405,V
-0.541680906,1.510031355,0.467944825,0.553225038,N
-0.079586574,-0.609923698,0.353834229,1.108030059,M
-0.043751646,-0.410666386,-0.729599036,0.263223372,P
-0.761490177,1.104181916,1.270608664,-0.319284452,O
-0.804975073,0.559520138,1.052232265,-0.645574266,F
0.353941054,1.829962698,0.398922026,-1.522231317,O
1.541636405,0.478316069,-0.666760327,1.367174948,X
-0.987620842,0.337534288,0.386934953,1.996143918,Z
-0.35346232,-0.448433452,-0.420520292,0.606223207,N
-0.275687122,0.127910364,0.877755572,0.141774294,6
0.44888207,-0.01641032,-0.041434291,0.48309648,6
-0.043764958,-0.878445917,1.525075352,0.008223165,Q
-0.064415584,0.080920575,0.644715202,0.393025121,T
0.015018309,-1.620300913,0.465865553,1.637376626,X
0.579715377,-0.565645982,-0.812128962,1.532802604,H
-0.324507167,1.853350636,-2.268609102,-0.355131709,F
-0.100246743,-1.954613958,0.132518775,0.836926753,K
0.275725088,0.349561139,-0.617722975,0.675990898,F
